"Name","Reference","All","Mutations","CNA","RNA.Seq","Structural_Variants","Tumor_mRNA_.microarray.","Tumor_miRNA","Methylation_.HM27.","RPPA","Protein_Mass_Spectrometry","Complete","Treatment_Count","pmid","studyId"
"Gastrointestinal Stromal Tumor (MSK, NPJ Precis Oncol 2023)","Diana et al. NPJ Precis Oncol 2023",499,499,499,0,25,0,0,0,0,0,0,106,"36593350","gist_msk_2022"
"Gastrointestinal Stromal Tumors (MSK, Clin Cancer Res 2023)","Dermawan et al. Clin Cancer Res 2023",469,469,469,0,21,0,0,0,0,0,0,0,"37477937","gist_msk_2023"
"Germ Cell Tumors (MSK, J Clin Oncol 2016)","Bagrodia et al. J Clin Oncol 2016",180,180,180,0,7,0,0,0,0,0,0,0,"27646943","gct_msk_2016"
"Germ Cell Tumors and Shared Leukemias (MSK, J Clin Invest 2020)","Taylor et al. J Clin Invest 2020",21,21,0,0,0,0,0,0,0,0,0,0,"32897884","gct_msk_2020"
"Glioblastoma (CPTAC, Cell 2021)","Wang et al. Cell 2021",99,99,96,99,0,0,98,0,0,99,96,0,"33577785","gbm_cptac_2021"
"Glioblastoma (Columbia, Nat Med. 2019)","Zhao et al. Nat Med 2019",42,32,0,0,0,0,0,0,0,0,0,42,"30742119","gbm_columbia_2019"
"Glioblastoma (TCGA, Cell 2013)","TCGA, Cell 2013",577,291,522,152,0,0,0,0,193,0,141,0,"24120142","gbm_tcga_pub2013"
"Glioblastoma (TCGA, Nature 2008)","TCGA, Nature 2008",206,91,206,0,0,206,206,206,0,0,0,0,"18772890","gbm_tcga_pub"
"Glioblastoma Multiforme (TCGA, Firehose Legacy)","",619,290,577,166,0,401,0,285,244,0,136,0,NA,"gbm_tcga"
"Glioblastoma Multiforme (TCGA, GDC)","",610,377,519,0,0,0,0,0,0,0,0,0,NA,"gbm_tcga_gdc"
"Glioblastoma Multiforme (TCGA, PanCancer Atlas)","TCGA, Cell 2018",592,397,575,160,123,0,0,0,231,0,145,448,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","gbm_tcga_pan_can_atlas_2018"
"Glioma (MSK, Clin Cancer Res 2019)","Jonsson et al. Clin Cancer Res 2019",1004,1004,1004,0,225,0,0,0,0,0,0,796,"31263031","glioma_mskcc_2019"
"Glioma (MSK, Nature 2019)","Miller et al. Nature 2019",91,91,91,0,8,0,0,0,0,0,0,0,"30675060","glioma_msk_2018"
"Head and Neck Carcinoma, Other (CPTAC, GDC)","",150,85,85,0,0,0,0,0,0,0,0,0,NA,"ohnca_cptac_gdc"
"Head and Neck Squamous Cell Carcinoma (Broad, Science 2011)","Stransky et al. Science 2011",74,74,0,0,0,0,0,0,0,0,0,0,"21798893","hnsc_broad"
"Head and Neck Squamous Cell Carcinoma (Johns Hopkins, Science 2011)","Agrawal et al. Science 2011",32,32,0,0,0,0,0,0,0,0,0,0,"21798897","hnsc_jhu"
"Head and Neck Squamous Cell Carcinoma (TCGA, Firehose Legacy)","",530,512,522,522,0,0,0,0,212,0,496,0,NA,"hnsc_tcga"
"Head and Neck Squamous Cell Carcinoma (TCGA, GDC)","",530,510,519,0,0,0,0,0,0,0,0,0,NA,"hnsc_tcga_gdc"
"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)","TCGA, Nature 2015",279,279,279,279,2,0,0,0,200,0,279,0,"25631445","hnsc_tcga_pub"
"Head and Neck Squamous Cell Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",523,515,517,515,348,0,0,0,211,0,488,301,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","hnsc_tcga_pan_can_atlas_2018"
"Hepatocellular Adenoma (INSERM, Cancer Cell 2014)","Pilati et al. Cancer Cell 2014",46,46,0,0,0,0,0,0,0,0,0,0,"24735922","liad_inserm_fr_2014"
"Hepatocellular Carcinoma (CLCA, Nature 2024)","Chen L et al. Nature 2024",494,494,0,0,475,0,0,0,0,0,0,0,"38355797","hcc_clca_2024"
"Hepatocellular Carcinoma (MERiC/Basel, Nat Commun. 2022)","Charlotte Ng et al. Nat Commun. 2022",122,122,0,0,0,0,0,0,0,0,0,0,"35508466","hcc_meric_2021"
"Hepatocellular Carcinoma (MSK, 2024)","",1370,1370,1370,0,325,0,0,0,0,0,0,1307,NA,"hcc_msk_2024"
"Hepatocellular Carcinoma (MSK, Clin Cancer Res 2018)","Harding et al. Clin Cancer Res 2018",127,127,127,0,17,0,0,0,0,0,0,0,"30373752","hcc_mskimpact_2018"
"Hepatocellular Carcinoma (MSK, JCO Precis Oncol 2023)","Darren et al. JCO Precis Oncol 2023",90,90,90,0,8,0,0,0,0,0,0,0,"37769223","hcc_jcopo_msk_2023"
"Hepatocellular Carcinoma (TCGA, GDC)","",379,370,371,0,0,0,0,0,0,0,0,0,NA,"hcc_tcga_gdc"
"Hepatocellular Carcinomas (INSERM, Nat Genet 2015)","Schulze et al. Nat Genet 2013",243,243,0,0,0,0,0,0,0,0,0,0,"25822088","hcc_inserm_fr_2015"
"High-Grade Serous Ovarian Cancer (MSK, NPJ Genome Med 2021)","Elkin et al. NPJ Genome Med 2021",45,45,45,0,10,0,0,0,0,0,0,0,"34819508","hgsoc_msk_2021"
"High-Grade Serous Ovarian Cancer (TCGA, GDC)","",602,405,571,0,0,0,0,0,0,0,0,0,NA,"hgsoc_tcga_gdc"
"Histiocytosis Cobimetinib (MSK, Nature 2019)","Eli et al. Nature 2019",52,52,33,0,0,0,0,0,0,0,0,0,"30867592","histiocytosis_cobi_msk_2019"
"Hypodiploid Acute Lymphoid Leukemia (St Jude, Nat Genet 2013)","Holmfeldt et al. Nat Genet 2013",44,44,0,0,0,0,0,0,0,0,0,0,"23334668","all_stjude_2013"
"IDH-mutated Diffuse Glioma (MSK, Clin Cancer Res 2024)","Ankush et al. Clin Cancer Res 2024",73,73,73,0,4,0,0,0,0,0,0,0,"37910594","difg_msk_2023"
"Insulinoma (Shanghai, Nat Commun 2013)","Cao et al. Nat Commun 2013",10,10,0,0,0,0,0,0,0,0,0,0,"24326773","panet_shanghai_2013"
"Intrahepatic Cholangiocarcinoma (JHU, Nat Genet 2013)","Jiao et al. Nat Genet 2013",40,40,0,0,0,0,0,0,0,0,0,0,"24185509","chol_jhu_2013"
"Intrahepatic Cholangiocarcinoma (MSK, Clin Cancer Res 2021)","Jolissaint et al. Clin Cancer Res 2021",219,199,95,0,58,0,0,0,0,0,0,0,"33963001","ihch_mskcc_2020"
"Intrahepatic Cholangiocarcinoma (MSK, Hepatology 2021)","Boerner et al. Hepatology 2021",412,412,412,0,97,0,0,0,0,0,0,36,"33765338","ihch_msk_2021"
"Intrahepatic Cholangiocarcinoma (Mount Sinai 2015)","Sia et al. Nature Commun 2015",8,8,0,0,6,0,0,0,0,0,0,0,"25608663","ihch_ismms_2015"
"Intrahepatic Cholangiocarcinoma (Shanghai, Nat Commun 2014)","Shanshan et al. Nat Commun 2014",103,103,0,0,0,0,0,0,0,0,0,0,"25526346","ihch_smmu_2014"
"Invasive Breast Carcinoma (TCGA, GDC)","",1103,971,1072,0,0,0,0,0,0,0,0,0,NA,"brca_tcga_gdc"
"Juvenile Papillomatosis and Breast Cancer (MSK,J Pathol. 2015)","Timothy M et al. J Pathol 2021",5,5,0,0,0,0,0,0,0,0,0,0,"33263939","brca_jup_msk_2020"
"Kidney Chromophobe (TCGA, Cancer Cell 2014)","TCGA, Cancer Cell 2014",66,65,66,66,0,0,0,0,0,0,65,0,"25155756","kich_tcga_pub"
"Kidney Chromophobe (TCGA, Firehose Legacy)","",113,66,66,66,0,0,0,0,63,0,66,0,NA,"kich_tcga"
"Kidney Chromophobe (TCGA, PanCancer Atlas)","TCGA, Cell 2018",65,65,65,65,11,0,0,0,62,0,65,7,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","kich_tcga_pan_can_atlas_2018"
"Kidney Renal Clear Cell Carcinoma (BGI, Nat Genet 2012)","Guo et al. Nat Genet 2012",98,98,0,0,0,0,0,0,0,0,0,0,"22138691","kirc_bgi"
"Kidney Renal Clear Cell Carcinoma (IRC, Nat Genet 2014)","Gerlinger et al. Nat Genet 2014",79,78,0,0,0,0,0,0,0,0,0,0,"24487277","ccrcc_irc_2014"
"Kidney Renal Clear Cell Carcinoma (TCGA, Firehose Legacy)","",538,451,528,534,0,72,0,219,478,0,446,0,NA,"kirc_tcga"
"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)","TCGA, Nature 2013",446,426,436,417,65,56,148,192,411,0,392,0,"23792563","kirc_tcga_pub"
"Kidney Renal Clear Cell Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",512,402,509,510,153,0,0,0,455,0,352,98,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","kirc_tcga_pan_can_atlas_2018"
"Kidney Renal Papillary Cell Carcinoma (TCGA, Firehose Legacy)","",293,282,288,291,0,16,0,16,216,0,280,0,NA,"kirp_tcga"
"Kidney Renal Papillary Cell Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",283,276,283,283,65,0,0,0,209,0,274,23,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","kirp_tcga_pan_can_atlas_2018"
"Leiomyosarcoma (MSK, Clin Cancer Res 2024)","Josephine K et al. Clin Cancer Res 2024",470,470,470,0,104,0,0,0,0,0,0,0,"38488807","lms_msk_2024"
"Liver Hepatocellular Adenoma and Carcinomas (MSK, PLOS One 2018)","Zheng et al. PLOS One 2018",19,19,19,0,0,0,0,0,0,0,0,0,"30052636","hcc_msk_venturaa_2018"
"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)","Ahn et al. Hepatology 2014",231,231,231,0,0,0,0,0,0,0,0,0,"24798001","lihc_amc_prv"
"Liver Hepatocellular Carcinoma (RIKEN, Nat Genet 2012)","Fujimoto et al. Nat Genet 2012",27,27,0,0,0,0,0,0,0,0,0,0,"22634756","lihc_riken"
"Liver Hepatocellular Carcinoma (TCGA, Firehose Legacy)","",379,373,370,373,0,0,0,0,0,0,360,0,NA,"lihc_tcga"
"Liver Hepatocellular Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",372,366,367,366,218,0,0,0,179,0,348,46,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","lihc_tcga_pan_can_atlas_2018"
"Low-Grade Gliomas (UCSF, Science 2014)","Johnson et al. Science 2014",61,61,0,0,0,0,0,0,0,0,0,12,"24336570","lgg_ucsf_2014"
"Low-Grade Serous Ovarian Cancer (MSK, Clin Cancer Res 2022)","Manning-Geist et al. Clin Cancer Res. 2022",119,119,0,0,0,0,0,0,0,0,0,0,"35443055","lgsoc_mapk_msk_2022"
"Lung Adenocarcinoma (Broad, Cell 2012)","Imielinksi et al. Cell 2012",183,183,183,0,0,0,0,0,0,0,0,0,"22980975","luad_broad"
"Lung Adenocarcinoma (CPTAC, Cell 2020)","M.A. Gillette et al. Cell 2020",110,110,110,110,0,0,107,0,0,110,110,0,"32649874","luad_cptac_2020"
"Lung Adenocarcinoma (CPTAC, GDC)","",180,179,179,0,0,0,0,0,0,0,0,0,NA,"luad_cptac_gdc"
"Lung Adenocarcinoma (MSK Mind,Nature Cancer 2022)","Rami S et al. Nature Cancer 2022",247,247,247,0,43,0,0,0,0,0,0,0,"36038778","lung_msk_mind_2020"
"Lung Adenocarcinoma (MSK, 2021)","",186,186,186,0,52,0,0,0,0,0,0,1,NA,"luad_mskimpact_2021"
"Lung Adenocarcinoma (MSK, J Thorac Oncol 2020)","Caso et al. J Thorac Oncol 2020",604,604,604,0,105,0,0,0,0,0,0,0,"32791233","luad_mskcc_2020"
"Lung Adenocarcinoma (MSK, NPJ Precision Oncology 2021)","Caso et al. NPJ Precis Oncol 2021",426,426,426,0,84,0,0,0,0,0,0,0,"34290393","luad_msk_npjpo_2021"
"Lung Adenocarcinoma (MSK, Science 2015)","Rizvi et al. Science 2015",35,35,0,0,0,0,0,0,0,0,0,0,"25765070","luad_mskcc_2015"
"Lung Adenocarcinoma (OncoSG, Nat Genet 2020)","Chen et al. Nat Genet 2020",305,302,302,181,42,0,0,0,0,0,181,0,"32015526","luad_oncosg_2020"
"Lung Adenocarcinoma (TCGA, Firehose Legacy)","",586,230,516,517,0,32,0,126,365,0,230,0,NA,"luad_tcga"
"Lung Adenocarcinoma (TCGA, GDC)","",571,559,508,0,0,0,0,0,0,0,0,0,NA,"luad_tcga_gdc"
"Lung Adenocarcinoma (TCGA, Nature 2014)","TCGA, Nature 2014",230,230,230,230,9,23,0,48,181,0,230,0,"25079552","luad_tcga_pub"
"Lung Adenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",566,566,511,510,403,0,0,0,360,0,503,202,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","luad_tcga_pan_can_atlas_2018"
"Lung Adenocarcinoma (TSP, Nature 2008)","Ding et al. Nature 2008",163,163,0,0,0,0,0,0,0,0,0,0,"18948947","luad_tsp"
"Lung Adenocarcinoma Met Organotropism (MSK, Cancer Cell 2023)","Lengel, Harry B et al. Cancer Cell 2023",2653,2653,2422,0,655,0,0,0,0,0,0,0,"37084736","luad_mskcc_2023_met_organotropism"
"Lung Cancer (SMC, Cancer Research 2016)","Sang-Won et al. Cancer Research 2016",22,22,0,21,0,0,0,0,0,0,0,0,"27634761","lung_smc_2016"
"Lung Cancer in Never Smokers (NCI, Nature Genetics 2021)","Zhang et al. Nature Genetics 2021",232,232,0,0,26,0,0,0,0,0,0,0,"34493867","lung_nci_2022"
"Lung Squamous Cell Carcinoma (CPTAC, Cell 2021)","Shankha Satpathy et al. 2021 Cell.",80,108,0,108,0,0,107,0,0,0,0,0,"34358469","lusc_cptac_2021"
"Lung Squamous Cell Carcinoma (CPTAC, GDC)","",90,90,90,0,0,0,0,0,0,0,0,0,NA,"lusc_cptac_gdc"
"Lung Squamous Cell Carcinoma (TCGA, Firehose Legacy)","",511,178,501,501,0,154,0,133,328,0,178,0,NA,"lusc_tcga"
"Lung Squamous Cell Carcinoma (TCGA, GDC)","",503,484,492,0,0,0,0,0,0,0,0,0,NA,"lusc_tcga_gdc"
"Lung Squamous Cell Carcinoma (TCGA, Nature 2012)","",178,178,178,178,0,121,110,104,0,0,178,0,"22960745","lusc_tcga_pub"
"Lung Squamous Cell Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",487,484,487,484,408,0,0,0,317,0,466,150,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","lusc_tcga_pan_can_atlas_2018"
"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Firehose Legacy)","",48,48,48,48,0,0,0,0,33,0,48,0,NA,"dlbc_tcga"
"Lymphoma Cell Lines (MSK, Blood 2020)","Neeta et al. Blood 2021",34,34,34,0,0,0,0,0,0,0,0,0,"33067607","lymphoma_cellline_msk_2020"
"MAPK on resistance to anti-HER2 therapy for breast cancer (MSK, Nat Commun. 2022)","Alison E et al. Nat Commun 2022",145,145,145,0,43,0,0,0,0,0,0,36,"34795269","brca_mapk_hp_msk_2021"
"MSK CHORD (MSK, 2024)","",25040,25040,25034,0,5385,0,0,0,0,0,0,24028,NA,"msk_chord_2024"
"MSK Make-an-IMPACT Rare Cancers (MSK, Clin Cancer Res 2023)","Seyram A et al. Clin Cancer Res 2023",184,184,184,0,9,0,0,0,0,0,0,0,"36862133","makeanimpact_ccr_2023"
"MSK MetTropism (MSK, Cell 2021)","Nguyen et al. Cell 2022",25775,25775,25775,0,5410,0,0,0,0,0,0,0,"35120664","msk_met_2021"
"MSK ctDNA Sequencing Cohort (MSK,2024)","",5567,5567,5567,0,207,0,0,0,0,0,0,0,NA,"msk_ctdna_vte_2024"
"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)","Zehir et al. Nat Med 2017",10945,10945,10945,0,1667,0,0,0,0,0,0,0,"28481359","msk_impact_2017"
"MSK-IMPACT Heme Tumors (MSK, 2022)","",2383,2383,2383,0,0,0,0,0,0,0,0,0,NA,"heme_msk_impact_2022"
"MSK-IMPACT and MSK-ACCESS Mixed Cohort (MSK, Nat Commun 2021)","Brannon et al. Nat Commun 2021",1446,1446,1446,0,285,0,0,0,0,0,0,0,"34145282","msk_access_2021"
"MSS Mixed Solid Tumors (Broad/Dana-Farber, Nat Genet 2018)","Miao et al. Nat Genet 2018",249,249,0,0,0,0,0,0,0,0,0,0,"30150660","mixed_allen_2018"
"Malignant Peripheral Nerve Sheath Tumor (MSK, Nat Genet 2014)","Lee et al. Nat Genet 2014",15,15,15,0,4,0,0,0,0,0,0,0,"25240281","mpnst_mskcc"
"Mantle Cell Lymphoma (IDIBIPS, PNAS 2013)","BeÃ  et al. PNAS 2013",29,29,0,0,0,0,0,0,0,0,0,0,"24145436","mcl_idibips_2013"
"Mature B-Cell Neoplasms (Simon Fraser University, Blood 2023)","Thomas et al. Blood 2023",297,297,0,297,198,0,0,0,0,0,0,0,"36201743","mbn_sfu_2023"
"Mature B-cell malignancies (MD Anderson Cancer Center)","",760,755,0,0,0,0,0,0,0,0,0,0,NA,"mbn_mdacc_2013"
"Mature T and NK Neoplasms (MSK, Blood Adv 2023)","William T et al. Blood Adv 2023",132,132,132,0,0,0,0,0,0,0,0,0,"37078708","mtnn_msk_2022"
"Medulloblastoma (Broad, Nature 2012)","Pugh et al. Nature 2012",92,92,0,0,0,0,0,0,0,0,0,0,"22820256","mbl_broad_2012"
"Medulloblastoma (DKFZ, Nature 2017)","Northcott et al. Nature 2017",491,491,0,0,17,0,0,0,0,0,0,0,"28726821","mbl_dkfz_2017"
"Medulloblastoma (ICGC, Nature 2012)","Jones et al. Nature 2012",125,125,0,0,0,0,0,0,0,0,0,0,"22832583","mbl_icgc"
"Medulloblastoma (PCGP, Nature 2012)","Robinson et al. Nature 2012",37,37,0,0,0,0,0,0,0,0,0,0,"22722829","mbl_pcgp"
"Medulloblastoma (Sickkids, Nature 2016)","Morrissy et al. Nature 2016",46,46,0,0,38,0,0,0,0,0,0,0,"26760213","mbl_sickkids_2016"
"Melanoma (Broad/Dana Farber, Nature 2012)","Berger et al. Nature 2012",26,26,0,0,0,0,0,0,0,0,0,0,"22622578","skcm_broad_dfarber"
"Melanoma (MSK, Clin Cancer Res 2021)","Alexander N et al. Clin Cancer Res 2021",696,696,696,0,86,0,0,0,0,0,0,0,"33509808","mel_mskimpact_2020"
"Melanoma (MSK, NEJM 2014)","Snyder et al. NEJM 2014",64,64,64,21,0,0,0,0,0,0,21,0,"25409260","skcm_mskcc_2014"
"Melanomas (TCGA, Cell 2015)","TCGA, Cell 2015",359,346,0,0,0,0,0,0,0,0,0,0,"26091043","skcm_tcga_pub_2015"
"Meningioma (University of Toronto, Nature 2021)","Farshad et al. Nature 2021",121,115,121,0,0,0,0,0,0,96,0,0,"34433969","mng_utoronto_2021"
"Merged Cohort of LGG and GBM (TCGA, Cell 2016)","TCGA, Cell 2016",1122,812,1084,0,0,0,0,0,0,0,0,0,"26824661","lgggbm_tcga_pub"
"Mesothelioma (TCGA, Firehose Legacy)","",87,87,87,87,0,0,0,0,63,0,83,0,NA,"meso_tcga"
"Mesothelioma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",87,86,87,87,58,0,0,0,63,0,82,61,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","meso_tcga_pan_can_atlas_2018"
"Metaplastic Breast Cancer (MSK,NPJ Breast Cancer 2021)","Edaise M et al. NPJ Breast Cancer 2021",19,19,0,0,0,0,0,0,0,0,0,0,"33863915","mbc_msk_2021"
"Metastatic Biliary Tract Cancers (SUMMIT - Neratinib Basket Trial, 2022)","",36,34,34,0,0,0,0,0,0,0,0,0,NA,"biliary_tract_summit_2022"
"Metastatic Breast Cancer (AURORA US Network, Nat Cancer 2023)","Garcia-Recio et al. Nat Cancer 2023",163,134,0,123,0,0,0,0,0,0,0,55,"36585450","brca_aurora_2023"
"Metastatic Breast Cancer (INSERM, PLoS Med 2016)","Lefebvre et al. PLoS Med 2016",216,216,216,0,0,0,0,0,0,0,0,0,"28027327","brca_igr_2015"
"Metastatic Breast Cancer (MSK, Cancer Discovery 2022)","Qing et al. Cancer Discovery 2022",1365,1365,1365,0,260,0,0,0,0,0,0,0,"34544752","breast_ink4_msk_2021"
"Metastatic Colorectal Cancer (MSK, Cancer Cell 2018)","Yaeger et al. Cancer Cell 2018",1134,1134,1134,0,104,0,0,0,0,0,0,0,"29316426","crc_msk_2017"
"Metastatic Esophagogastric Cancer (MSK, Cancer Discovery 2017)","Janjigian et al. Cancer Discov 2017",341,341,341,0,48,0,0,0,0,0,0,0,"29122777","egc_msk_2017"
"Metastatic Melanoma (DFCI, Nature Medicine 2019)","Liu et al. Nature Medicine 2019",144,144,144,0,0,0,0,0,0,0,0,0,"31792460","mel_dfci_2019"
"Metastatic Melanoma (DFCI, Science 2015)","Van Allen et al. Science 2015",110,110,110,40,0,0,0,0,0,0,40,0,"26359337","skcm_dfci_2015"
"Metastatic Melanoma (MSK, JCO Precis Oncol 2017)","Catalanotti et al. JCO Precis Oncol 2017",66,66,66,0,0,0,0,0,0,0,0,0,"32913971","skcm_vanderbilt_mskcc_2015"
"Metastatic Melanoma (UCLA, Cell 2016)","Hugo et al. Cell 2016",38,38,37,27,0,0,0,0,0,0,26,0,"26997480","mel_ucla_2016"
"Metastatic Non-Small Cell Lung Cancer (MSK, Nature Medicine 2022)","Jee et al. Nature Medicine 2022",2621,2621,2621,0,374,0,0,0,0,0,0,418,"36357680","nsclc_ctdx_msk_2022"
"Metastatic Prostate Adenocarcinoma (MCTP, Nature 2012)","Grasso et al. Nature 2012",121,61,61,0,33,0,0,0,0,0,0,0,"22722839","prad_mich"
"Metastatic Prostate Adenocarcinoma (SU2C/PCF Dream Team, PNAS 2019)","Abida et al. PNAS 2019",444,444,444,0,178,0,0,0,0,0,0,0,"31061129","prad_su2c_2019"
"Metastatic Prostate Cancer (SU2C/PCF Dream Team, Cell 2015)","Robinson et al. Cell 2015",150,150,150,118,105,0,0,0,0,0,118,0,"26000489","prad_su2c_2015"
"Metastatic Solid Cancers (UMich, Nature 2017)","Robinson et al. Nature 2017",500,500,0,0,199,0,0,0,0,0,0,0,"28783718","metastatic_solid_tumors_mich_2017"
"Metastatic castration-sensitive prostate cancer (MSK, Clin Cancer Res 2020)","Stopsack et al. Clin Cancer Res 2020",424,424,424,0,192,0,0,0,0,0,0,0,"32220891","prad_mcspc_mskcc_2020"
"Miscellaneous Neuroepithelial Tumor (TCGA, GDC)","",184,183,167,0,0,0,0,0,0,0,0,0,NA,"mnet_tcga_gdc"
"Mixed Tumors Selpercatinib RET Trial (MSK, Nat Commun. 2022)","Ezra Y et al. Nat Commun 2022",188,185,60,0,51,0,0,0,0,0,0,0,"35304457","mixed_selpercatinib_2020"
"Mixed cfDNA (MSK, Genome Med 2021)","Tsui et al. Genome Med 2021",229,229,229,0,36,0,0,0,0,0,0,0,"34059130","mixed_cfdna_msk_2020"
"Mixed cfDNA (MSK, Nature Medicine 2019)","Razavi et al. Nature Medicine 2019",248,248,0,0,0,0,0,0,0,0,0,0,"31768066","cfdna_msk_2019"
"Multiple Myeloma (Broad, Cancer Cell 2014)","Lohr et al. Cancer Cell 2014",211,205,0,0,0,0,0,0,0,0,0,0,"24434212","mm_broad"
"Myelodysplasia (UTokyo, Nature 2011)","Yoshida et al. Nature 2011",29,29,0,0,0,0,0,0,0,0,0,0,"21909114","mds_tokyo_2011"
"Myelodysplastic (MSK, 2020)","Papaemmanuil et al. NEJM 2016; Tyner et al. Nature 2018; Papaemmanuil et al. Blood 2013",4231,4231,0,0,0,0,0,0,0,0,0,0,"27276561,30333627,24030381","mds_mskcc_2020"
"Myelodysplastic Syndromes (MDS IWG, IPSSM, NEJM Evidence 2022)","Bernard et al. NEJM Evidence 2022",3323,3323,0,0,0,0,0,0,0,0,0,0,NA,"mds_iwg_2022"
"Myeloproliferative Neoplasms (CIMR, NEJM 2013)","Nangalia et al. NEJM 2013",151,151,0,0,0,0,0,0,0,0,0,0,"24325359","mpn_cimr_2013"
"Myoepithelial Carcinomas of Soft Tissue (WCM, CSH Molecular Case Studies 2022)","Cyrta et al. 2022 Cold Spring Harb Mol Case Stud 8: a006227",12,12,12,0,0,0,0,0,0,0,0,0,"36577525","stmyec_wcm_2022"
"NCI-60 Cell Lines (NCI, Cancer Res 2012)","Reinhold et al. Cancer Res 2012",67,60,60,0,0,60,0,0,0,0,53,0,"22802077","cellline_nci60"
"Nasopharyngeal Carcinoma (Singapore, Nat Genet 2014)","Lin et al. Nat Genet 2014",56,56,0,0,0,0,0,0,0,0,0,0,"24952746","npc_nusingapore"
"Nerve Sheath Tumors (Johns Hopkins, Sci Data 2020)","Pollard et al. Sci Data 2020",134,80,0,0,0,0,0,0,0,0,0,0,"32561749","nst_nfosi_ntap"
"Neuroblastoma (AMC Amsterdam, Nature 2012)","Molenaar et al. Nature 2012",87,87,0,0,0,0,0,0,0,0,0,0,"22367537","nbl_amc_2012"
"Neuroblastoma (Broad, Nat Genet 2013)","Pugh et al. Nat Genet 2013",240,240,0,0,16,0,0,0,0,0,0,0,"23334666","nbl_broad_2013"
"Neuroblastoma (Broad, Nature 2015)","Peifer et al. Nature 2015",56,56,0,0,0,0,0,0,0,0,0,0,"26466568","nbl_ucologne_2015"
"Neuroendocrine Prostate Cancer (Multi-Institute, Nat Med 2016)","Beltran et al. Nat Med 2016",114,114,0,0,0,0,0,0,0,0,0,0,"26855148","nepc_wcm_2016"
"Non-CDH1 Invasive Lobular Carcinoma (MSK, 2023)","",25,25,25,0,5,0,0,0,0,0,0,0,NA,"ilc_msk_2023"
"Non-Hodgkin Lymphoma (BCGSC, Nature 2011)","Morin et al. Nature 2011",14,14,0,0,4,0,0,0,0,0,0,0,"21796119","nhl_bcgsc_2011"
"Non-Seminomatous Germ Cell Tumor (TCGA, GDC)","",156,146,156,0,0,0,0,0,0,0,0,0,NA,"nsgct_tcga_gdc"
"Non-Small Cell Cancer (MSK, Cancer Discov 2017)","Jordan et al. Cancer Discov 2017",915,915,915,0,152,0,0,0,0,0,0,0,"28336552","lung_msk_2017"
"Non-Small Cell Lung Cancer (MSK, Cancer Cell 2018)","Hellmann et al. Cancer Cell 2018",75,75,0,0,0,0,0,0,0,0,0,0,"29657128","nsclc_mskcc_2018"
"Non-Small Cell Lung Cancer (MSK, J Clin Oncol 2018)","Rizvi et al. J Clin Oncol 2018",240,240,240,0,40,0,0,0,0,0,0,0,"29337640","nsclc_pd1_msk_2018"
"Non-Small Cell Lung Cancer (MSK, Science 2015)","Rivzi et al. Science 2016",16,16,0,0,0,0,0,0,0,0,0,0,"25765070","nsclc_mskcc_2015"
"Non-Small Cell Lung Cancer (TRACERx, NEJM & Nature 2017)","Hanjani et al. NEJM 2017, Abbosh et al. Nature 2017",447,447,0,0,0,0,0,0,0,0,0,0,"28445112,28445469","nsclc_tracerx_2017"
"Non-Small Cell Lung Cancer (University of Turin, Lung Cancer 2017)","VavalÃ  et al. Lung Cancer 2017",41,41,0,0,0,0,0,0,0,0,0,0,"27346245","nsclc_unito_2016"
"Non-Small Cell Lung Cancer Brain Metastasis (MSK, Nat Commun 2023)","Anna et al. Nat Commun 2023",322,322,322,0,91,0,0,0,0,0,0,0,"37591896","bm_nsclc_mskcc_2023"
"Nonmuscle Invasive Bladder Cancer (MSK Eur Urol 2017)","Pietzak et al. Eur Urol 2017",105,105,105,0,11,0,0,0,0,0,0,0,"28583311","blca_nmibc_2017"
