"","original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"380","LY 2606368","Prexasertib","NCIT:C91392","NCIT"
"381","Laparoscopic Biopsy","Laparoscopic Biopsy","NCIT:C165180","NCIT"
"382","Laparoscopic Prostatectomy","Laparoscopic Prostatectomy","NCIT:C94452","NCIT"
"383","Lapatinib","Lapatinib","NCIT:C26653","NCIT"
"384","Left Rnu","Left;Radical;Nephroureterectomy","NCIT:C25229;NCIT:C68786;NCIT:C51646","NCIT;NCIT;NCIT"
"385","Left breast reexcision","Left Breast;Re-Excision","NCIT:C47855;NCIT:C48600","NCIT;NCIT"
"386","Left hemihepatectomy","Left Hemihepatectomy","NCIT:C51571","NCIT"
"387","Left segmental mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"388","Lenalidomide","Lenalidomide","NCIT:C2668","NCIT"
"389","Letrozole","Letrozole","NCIT:C1527","NCIT"
"390","Leukine","Sargramostim","NCIT:C1492","NCIT"
"391","Liposomal Cytarabine","Liposomal Cytarabine","NCIT:C2388","NCIT"
"392","Liver Biopsy","Liver Biopsy","NCIT:C51677","NCIT"
"393","Liver Resection","Hepatectomy","NCIT:C15249","NCIT"
"394","Lobectomy","Lobectomy","NCIT:C15272","NCIT"
"395","Lomustine","Lomustine","NCIT:C617","NCIT"
"396","Lumpectomy","Lumpectomy","NCIT:C15755","NCIT"
"397","Lupron","Leuprolide","NCIT:C62042","NCIT"
"398","MASTECTOMY","Mastectomy","NCIT:C15277","NCIT"
"399","MBG453 (TIM-3 inhibitor)","Sabatolimab","NCIT:C124850","NCIT"
"400","MEK","Mitogen-Activated Protein Kinase Kinase Inhibitor","NCIT:C69145","NCIT"
"401","MEK162","Binimetinib","NCIT:C84865","NCIT"
"402","MET inhibitor","c-Met Inhibitor","NCIT:C143099","NCIT"
"403","METASTASECTOMY","Metastasectomy","NCIT:C94461","NCIT"
"404","MGA271 anti B7H3 infusion","Enoblituzumab","NCIT:C97510","NCIT"
"405","MGB453","Sabatolimab","NCIT:C124850","NCIT"
"406","MITOTANE","Mitotane","NCIT:C664","NCIT"
"407","MK 3475","Pembrolizumab","NCIT:C106432","NCIT"
"408","MK-2206","Akt Inhibitor MK2206","NCIT:C90581","NCIT"
"409","MK-8242","HDM2 Inhibitor MK-8242","NCIT:C116867","NCIT"
"410","MK3475","Pembrolizumab","NCIT:C106432","NCIT"
"411","MLN0128 (mTORi)","Sapanisertib","NCIT:C90548","NCIT"
"412","MLN4924","Pevonedistat","NCIT:C77906","NCIT"
"413","MLN8237","Alisertib","NCIT:C71717","NCIT"
"414","MM-141","Istiratumab","NCIT:C103863","NCIT"
"415","MMC","Mitomycin","NCIT:C1820","NCIT"
"416","MTOR inhibitor","mTOR Inhibitor","NCIT:C2201","NCIT"
"417","MTOR/VEGF inhibitor","mTOR Inhibitor;Immunotherapeutic Agent","NCIT:C2201;NCIT:C308","NCIT;NCIT"
"418","MTX","Methotrexate","NCIT:C642","NCIT"
"419","MUD","Matched Unrelated Donor;Allogeneic Hematopoietic Stem Cell Transplantation","NCIT:C131676;NCIT:C46089","NCIT;NCIT"
"420","Macitentan","Macitentan","NCIT:C87728","NCIT"
"421","Margin resection","Surgical Margin;Resection","NCIT:C41227;NCIT:C158758","NCIT;NCIT"
"422","Mastectomy","Mastectomy","NCIT:C15277","NCIT"
"423","Mastectomy NOS","Mastectomy","NCIT:C15277","NCIT"
"424","Mefloquine","Mefloquine","NCIT:C61827","NCIT"
"425","Melphalan","Melphalan","NCIT:C633","NCIT"
"426","Memantine","Memantine","NCIT:C73269","NCIT"
"427","Mercaptopurine","Mercaptopurine","NCIT:C195","NCIT"
"428","Methotrexate","Methotrexate","NCIT:C642","NCIT"
"429","Midostaurin","Midostaurin","NCIT:C1872","NCIT"
"430","Mito","Mitoxantrone","NCIT:C62050","NCIT"
"431","Mitomycin","Mitomycin","NCIT:C1820","NCIT"
"432","Mitoxantrone","Mitoxantrone","NCIT:C62050","NCIT"
"433","Mk-3475","Pembrolizumab","NCIT:C106432","NCIT"
"434","Modified Radical Masectomy","Modified Radical Hysterectomy","NCIT:C136238","NCIT"
"435","Modified Radical Mastectomy","Modified Radical Mastectomy","NCIT:C15278","NCIT"
"436","Modified radical mastectomy","Modified Radical Mastectomy","NCIT:C15278","NCIT"
"437","Mogamulizumab","Mogamulizumab","NCIT:C62510","NCIT"
"438","Momelotinib","Momelotinib","NCIT:C88311","NCIT"
"439","Monalizumab","Monalizumab","NCIT:C120208","NCIT"
"440","Mto","Mitoxantrone","NCIT:C62050","NCIT"
"441","Mtx","Methotrexate","NCIT:C642","NCIT"
"442","Mylotarg","Gemtuzumab Ozogamicin","NCIT:C1806","NCIT"
"443","NK cell infusion","NK Cell-enriched Donor Lymphocytes","NCIT:C127939","NCIT"
"444","NOM","Have Not Had Cancer Surgery","NCIT:C127038","NCIT"
"445","NOREPINEPHRINE","l-Norepinephrine","NCIT:C2321","NCIT"
"446","NOVO-TTF","NovoTTF-100A Device","NCIT:C125103","NCIT"
"447","NPT","Platinum Acetylacetonate-Titanium Dioxide Nanoparticles","NCIT:C153425","NCIT"
"448","NSC750854","Purine Analogue NSC 750854","NCIT:C177897","NCIT"
"449","NY eso vaccine","NY-ESO-1 Peptide Vaccine","NCIT:C2657","NCIT"
"450","Nelarabine","Nelarabine","NCIT:C1704","NCIT"
"451","Nephrectomy","Nephrectomy","NCIT:C15284","NCIT"
"452","Nephro-ureterectomy","Nephroureterectomy","NCIT:C51646","NCIT"
"453","Nephroureterectomy with endoscopic bladder cuff resection","Nephroureterectomy with Cuff of Bladder;Endoscopic Resection","NCIT:C159437;NCIT:C159453","NCIT;NCIT"
"454","Nintedanib","Nintedanib","NCIT:C62765","NCIT"
"455","Nipple Sparing Total Mastectomy","Subcutaneous Mastectomy","NCIT:C89773","NCIT"
"456","Nivo","Nivolumab","NCIT:C68814","NCIT"
"457","Nivolumab","Nivolumab","NCIT:C68814","NCIT"
"458","Nivolumab (P1T986205)","Nivolumab","NCIT:C68814","NCIT"
"459","No (radiation)","Radiation Therapy Not Received","NCIT:C160346","NCIT"
"460","ODSH (2 O, 3-O Desulfated Heparin)","Dociparstat sodium","NCIT:C99130","NCIT"
"461","OSI-774","Erlotinib Hydrochloride","NCIT:C2693","NCIT"
"462","OX","Oxaliplatin","NCIT:C1181","NCIT"
"463","OX40 agonist MOXR0916","Vonlerolizumab","NCIT:C121376","NCIT"
"464","OXALIPLATIN","Oxaliplatin","NCIT:C1181","NCIT"
"465","OXi4503","Combretastatin A1 Diphosphate","NCIT:C84867","NCIT"
"466","Observation","Clinical Observation","NCIT:C116555","NCIT"
"467","Olaparib","Olaparib","NCIT:C71721","NCIT"
"468","Optune device","NovoTTF-100A Device","NCIT:C125103","NCIT"
"469","Orchiectomy","Orchiectomy","NCIT:C15288","NCIT"
"470","Other","Other","NCIT:C17649","NCIT"
"471","Other regimens","Other;Treatment Regimen","NCIT:C17649;NCIT:C15697","NCIT;NCIT"
"472","Other surgery (specify)","Other;Surgery","NCIT:C17649;NCIT:C17173","NCIT;NCIT"
"473","Oxaliplatin","Oxaliplatin","NCIT:C1181","NCIT"
"474","PACLITAXEL","Paclitaxel","NCIT:C1411","NCIT"
"475","PARTIAL_MASTECTOMY","Segmental Mastectomy","NCIT:C20749","NCIT"
"476","PCI-32765","Ibrutinib","NCIT:C81934","NCIT"
"477","PE","Pelvic Exenteration","NCIT:C91837","NCIT"
"478","PEITC","Phenethyl Isothiocyanate","NCIT:C2233","NCIT"
"479","PEMBRO","Pembrolizumab","NCIT:C106432","NCIT"
"480","PEMBROLIZUMAB","Pembrolizumab","NCIT:C106432","NCIT"
"481","PF-03084014","Nirogacestat","NCIT:C82383","NCIT"
"482","PF-04449913 (Hedgehog Inhibitor)","Glasdegib","NCIT:C84862","NCIT"
"483","PIM kinase inhibitor","Serine/Threonine Kinase Inhibitor","NCIT:C61074","NCIT"
"484","PIXANTRONE","Pixantrone","NCIT:C26663","NCIT"
"485","PLAT CAR-T cell infusion","Chimeric Antigen Receptor T-Cell Therapy","NCIT:C126102","NCIT"
"486","PLATINUM","Platinum","NCIT:C756","NCIT"
"487","PLX3397","Pexidartinib","NCIT:C88303","NCIT"
"488","PR-104","Nitrogen Mustard Prodrug PR-104","NCIT:C61590","NCIT"
"489","PROSTATECTOMY","Prostatectomy","NCIT:C15307","NCIT"
"490","PRS-343","Cinrebafusp Alfa","NCIT:C142890","NCIT"
"491","PSC","Valspodar","NCIT:C1405","NCIT"
"492","PSMA ADC","PSMA-targeting Agent;Antineoplastic Antibody-Drug Conjugate","NCIT:C176017;NCIT:C129823","NCIT;NCIT"
"493","PSMA-ADC","PSMA-targeting Agent;Antineoplastic Antibody-Drug Conjugate","NCIT:C176017;NCIT:C129823","NCIT;NCIT"
"494","PUNCH","Punch Biopsy","NCIT:C28743","NCIT"
"495","Paclitaxel","Paclitaxel","NCIT:C1411","NCIT"
"496","Palbociclib","Palbociclib","NCIT:C49176","NCIT"
"497","Pancreaticoduodenectomy (Whipple Resection)","Whipple Procedure","NCIT:C15356","NCIT"
"498","Partial Cystectomy","Partial Cystectomy","NCIT:C51636","NCIT"
"499","Partial Mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"500","Partial Salpingectomy","Partial Salpingectomy","NCIT:C51734","NCIT"
"501","Partial Vaginectomy","Partial;Vaginectomy","NCIT:C25378;NCIT:C94463","NCIT;NCIT"
"502","Partial hepatectomy","Partial Hepatectomy","NCIT:C15394","NCIT"
"503","Partial mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"504","Patey's Surgery","Modified Radical Mastectomy","NCIT:C15278","NCIT"
"505","Pateys surgery","Modified Radical Mastectomy","NCIT:C15278","NCIT"
"506","Peg interferon alfa-2a","Peginterferon Alfa-2a","NCIT:C33987","NCIT"
"507","Pembro","Pembrolizumab","NCIT:C106432","NCIT"
"508","Pembrolizumab","Pembrolizumab","NCIT:C106432","NCIT"
"509","Pembrolizumab (Arizona)","Pembrolizumab","NCIT:C106432","NCIT"
"510","Pemetrexed","Pemetrexed","NCIT:C61614","NCIT"
"511","Pentamadine","Pentamidine","NCIT:C731","NCIT"
"512","Pericardial Effusion","Pericardial Effusion","NCIT:C3319","NCIT"
"513","Pertuzumab","Pertuzumab","NCIT:C38692","NCIT"
"514","Pexidartinib","Pexidartinib","NCIT:C88303","NCIT"
"515","PiBr","Pipobroman","NCIT:C750","NCIT"
"516","Plaque","Plaque Radiotherapy","NCIT:C93339","NCIT"
"517","Platinum","Platinum","NCIT:C756","NCIT"
"518","Pleural Effusion","Pleural Effusion","NCIT:C3331","NCIT"
"519","Ponatinib","Ponatinib","NCIT:C95777","NCIT"
"520","Pracinostat","Pracinostat","NCIT:C71708","NCIT"
"521","Pravastatin","Pravastatin","NCIT:C62070","NCIT"
"522","Pred","Prednisone","NCIT:C770","NCIT"
"523","Prednisolone","Prednisolone","NCIT:C769","NCIT"
"524","Prednisone","Prednisone","NCIT:C770","NCIT"
"525","Primary Debulking","Primary Debulking Surgery","NCIT:C160865","NCIT"
"526","Procarbazine","Procarbazine","NCIT:C62072","NCIT"
"527","Proton 3d conformal","Proton Beam Radiation Therapy;3-Dimensional Conformal Radiation Therapy","NCIT:C66897;NCIT:C16035","NCIT;NCIT"
"528","Proton beam","Proton Beam Radiation Therapy","NCIT:C66897","NCIT"
"529","Provenge","Sipuleucel-T","NCIT:C1985","NCIT"
"530","Pylorus preserving pancreatoduodenectomy","Pylorus-sparing pancreaticoduodenectomy (procedure)","116242006","SNOMED"
"531","Quizartinib","Quizartinib","NCIT:C68936","NCIT"
"532","RAM","Ramucirumab","NCIT:C70792","NCIT"
"533","RAPAMYCIN","Sirolimus","NCIT:C1212","NCIT"
"534","REGN1400","Anti-ErbB3 Monoclonal Antibody REGN1400","NCIT:C103859","NCIT"
"535","REN1400","Anti-ErbB3 Monoclonal Antibody REGN1400","NCIT:C103859","NCIT"
"536","RG7112","MDM2 Inhibitor","NCIT:C162996","NCIT"
"537","RO4929097","Gamma-Secretase Inhibitor RO4929097","NCIT:C88333","NCIT"
"538","ROVA-T","Rovalpituzumab Tesirine","NCIT:C107678","NCIT"
"539","RUXOLITINB","Ruxolitinib","NCIT:C77888","NCIT"
"540","Rabbit ATG","Lapine T-Lymphocyte Immune Globulin","NCIT:C80833","NCIT"
"541","Rad001","Everolimus","NCIT:C48387","NCIT"
"542","Radiation Therapy, Unspecified","Radiation Therapy","NCIT:C15313","NCIT"
"543","Radiation to right breast","Radiation Therapy;Right Breast","NCIT:C15313;NCIT:C47856","NCIT;NCIT"
"544","Radical Cystectomy","Radical Cystectomy","NCIT:C15396","NCIT"
"545","Radical Cystoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"546","Radical Hysterectomy","Radical Hysterectomy","NCIT:C94470","NCIT"
"547","Radical Prostatectomy","Radical Prostatectomy","NCIT:C15399","NCIT"
"548","Radical anterior exenteration","Radical;Anterior Pelvic Exenteration","NCIT:C68786;NCIT:C94468","NCIT;NCIT"
"549","Radical cystectomy","Radical Cystectomy","NCIT:C15396","NCIT"
"550","Radical cystoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"551","Radical trachelectomy","Radical Trachelectomy","NCIT:C136288","NCIT"
"552","Radium-223 (Xofigo)","Radium Ra 223 Dichloride","NCIT:C62535","NCIT"
"553","Ram","Ramucirumab","NCIT:C70792","NCIT"
"554","Ramucirumab","Ramucirumab","NCIT:C70792","NCIT"
"555","Re-Excision of Superior Margin","Re-Excision;Superior;Margin","NCIT:C48600;NCIT:C25235;NCIT:C25563","NCIT;NCIT;NCIT"
"556","Re-excision of original lumpectomy site","Re-Excision;Original;Lumpectomy;Surgical Site","NCIT:C48600;NCIT:C25604;NCIT:C15755;NCIT:C164323","NCIT;NCIT;NCIT;NCIT"
"557","Re-excision of the inferior margin","Re-Excision;Inferior;Margin","NCIT:C48600;NCIT:C25353;NCIT:C25563","NCIT;NCIT;NCIT"
"558","Reexc of biopsy site","Re-Excision;Biopsy Site","NCIT:C48600;NCIT:C77677","NCIT;NCIT"
"559","Reexcision","Re-Excision","NCIT:C48600","NCIT"
"560","Reexcision of segmental mastectomy","Re-Excision;Segmental Mastectomy","NCIT:C48600;NCIT:C20749","NCIT;NCIT"
"561","Regeneron","Cemiplimab","NCIT:C121540","NCIT"
"562","Regorafenib","Regorafenib","NCIT:C78204","NCIT"
"563","Resection","Resection","NCIT:C158758","NCIT"
"564","Resection of Pelvic tumor","Resection;Pelvis;Tumor Mass","NCIT:C158758;NCIT:C12767;NCIT:C98275","NCIT;NCIT;NCIT"
"565","Resection of pulmonary Mets","Resection;Pulmonary;Metastasis","NCIT:C158758;NCIT:C13304;NCIT:C19151","NCIT;NCIT;NCIT"
"566","Revlimid","Lenalidomide","NCIT:C2668","NCIT"
"567","Revlmd","Lenalidomide","NCIT:C2668","NCIT"
"568","Right Breast Reexcision","Right Breast;Re-Excision","NCIT:C47856;NCIT:C48600","NCIT;NCIT"
"569","Right Breast reexcision","Right Breast;Re-Excision","NCIT:C47856;NCIT:C48600","NCIT;NCIT"
"570","Right Mediastinal Mass Excision","Right;Mediastinal Mass;Excision","NCIT:C25228;NCIT:C35295;NCIT:C15232","NCIT;NCIT;NCIT"
"571","Right Partial Nephrectomy","Right;Partial Nephrectomy","NCIT:C25228;NCIT:C51928","NCIT;NCIT"
"572","Right Rnu","Right;Radical;Nephroureterectomy;Right;Nephroureterectomy","NCIT:C25228;NCIT:C68786;NCIT:C51646;NCIT:C25228;NCIT:C51646","NCIT;NCIT;NCIT;NCIT;NCIT"
"573","Right Rnu / Rc","Right;Radical;Nephroureterectomy;Radical Cystectomy;Right;Nephroureterectomy;Radical Cystectomy","NCIT:C25228;NCIT:C68786;NCIT:C51646;NCIT:C15396;NCIT:C25228;NCIT:C51646;NCIT:C15396","NCIT;NCIT;NCIT;NCIT;NCIT;NCIT;NCIT"
"574","Right Total Mastectomy","Right;Total Mastectomy","NCIT:C25228;NCIT:C15281","NCIT;NCIT"
"575","Right eye enucleation","Right Eye;Enucleation","NCIT:C119333;NCIT:C48601","NCIT;NCIT"
"576","Right hemihepatectomy","Right Hemihepatectomy","NCIT:C51569","NCIT"
"577","Right mediastinal mass excision","Right;Mediastinal Mass;Excision","NCIT:C25228;NCIT:C35295;NCIT:C15232","NCIT;NCIT;NCIT"
"578","Right segmental mastectomy","Right;Segmental Mastectomy","NCIT:C25228;NCIT:C20749","NCIT;NCIT"
"579","Right total mastectomy","Right;Total Mastectomy","NCIT:C25228;NCIT:C15281","NCIT;NCIT"
"580","Right uterectomy","Right;Ureterectomy","NCIT:C25228;NCIT:C51637","NCIT;NCIT"
"581","Rigosertib","Rigosertib","NCIT:C152216","NCIT"
"582","Rituxan","Rituximab","NCIT:C1702","NCIT"
"583","Rituximab","Rituximab","NCIT:C1702","NCIT"
"584","Robotic assisted laparoscopic nephroureterectomy","Robot-Assisted Surgery;Laparoscopy;Nephroureterectomy","NCIT:C140885;NCIT:C16969;NCIT:C51646","NCIT;NCIT;NCIT"
"585","Robotic assisted laparoscopic radical cystoprostatectomy","Robot-Assisted Surgery;Laparoscopy;Radical Cystoprostatectomy","NCIT:C140885;NCIT:C16969;NCIT:C51899","NCIT;NCIT;NCIT"
"586","Robotic radical cystoprostatectomy","Robot-Assisted Surgery;Radical Cystoprostatectomy","NCIT:C140885;NCIT:C51899","NCIT;NCIT"
"587","Robotic-Assisted Laparoscopic Radical Prostatectomy","Laparoscopic Radical Prostatectomy with Robotics","NCIT:C165183","NCIT"
"588","Ruxolitinib","Ruxolitinib","NCIT:C77888","NCIT"
"589","SAHA","Vorinostat","NCIT:C1796","NCIT"
"590","SAR3419","Coltuximab Ravtansine","NCIT:C71009","NCIT"
"591","SB-715992","Ispinesib","NCIT:C38131","NCIT"
"592","SCH 727965","Dinaciclib","NCIT:C78854","NCIT"
"593","SGI-1776","PIM Kinase Inhibitor SGI-1776","NCIT:C82404","NCIT"
"594","SGN-CD19A","Denintuzumab Mafodotin","NCIT:C105150","NCIT"
"595","SGN-CD33A","Vadastuximab Talirine","NCIT:C111039","NCIT"
"596","SKIN LESION BIOPSY","Skin Biopsy","NCIT:C51692","NCIT"
"597","SKIN SPARING RADICAL MASTECTOMY","Skin-Sparing Mastectomy;Radical Mastectomy","NCIT:C107211;NCIT:C15279","NCIT;NCIT"
"598","SLND","Sentinel Lymph Node;Lymphadenectomy","NCIT:C12947;NCIT:C15275","NCIT;NCIT"
"599","SMAC","Apoptotic Pathway-targeting Antineoplastic Agent","NCIT:C129839","NCIT"
"600","SORAFENIB","Sorafenib","NCIT:C61948","NCIT"
"601","STA9090 (GANETESPIB)","Ganetespib","NCIT:C77872","NCIT"
"602","STF-118804","NAMPT Inhibitor STF-118804","NCIT:C177896","NCIT"
"603","SU11248","Sunitinib Malate","NCIT:C26673","NCIT"
"604","SVV-001","Seneca Valley Virus-001","NCIT:C62524","NCIT"
"605","SY-1425 (Tamibarotene)","Tamibarotene","NCIT:C71025","NCIT"
"606","Sacrococcygeal Resection","Sacrococcygeal Teratoma;Resection","NCIT:C99055;NCIT:C158758","NCIT;NCIT"
"607","Samalizumab","Samalizumab","NCIT:C77891","NCIT"
"608","Sapacitabine (CYC682-06)","Sapacitabine","NCIT:C64541","NCIT"
"609","Secondary Debulking","Secondary;Tumor Debulking","NCIT:C25667;NCIT:C15749","NCIT;NCIT"
"610","Segmental Mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"611","Segmental mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"612","Segmental ureterectomy","Ureterectomy","NCIT:C51637","NCIT"
"613","Segmentectomy, Multiple","Segmentectomy;Multiple","NCIT:C91061;NCIT:C17648","NCIT;NCIT"
"614","Segmentectomy, Single","Segmentectomy;Single","NCIT:C91061;NCIT:C150721","NCIT;NCIT"
"615","Selinexor","Selinexor","NCIT:C102546","NCIT"
"616","Sentinel Node Biopsy","Sentinel Lymph Node Biopsy","NCIT:C15667","NCIT"
"617","Simple Hysterectomy","Total Hysterectomy","NCIT:C15701","NCIT"
"618","Simple Mastectomy","Total Mastectomy","NCIT:C15281","NCIT"
"619","Sirolimus","Sirolimus","NCIT:C1212","NCIT"
"620","Skin excision","Skin Excision","NCIT:C51767","NCIT"
"621","Sorafenib","Sorafenib","NCIT:C61948","NCIT"
"622","Stereotactic","Stereotactic Radiosurgery","NCIT:C15358","NCIT"
"623","Steroids","Steroid Therapy","NCIT:C15370","NCIT"
"624","Sunitinib","Sunitinib","NCIT:C71622","NCIT"
"625","Surgical","Surgical Procedure","NCIT:C15329","NCIT"
"626","Surgical Resection","Resection","NCIT:C158758","NCIT"
"627","Surgical resection","Resection","NCIT:C158758","NCIT"
"628","Systemic","Systemic Therapy","NCIT:C15698","NCIT"
"629","T cell apheresis","Chimeric Antigen Receptor T-Cell Therapy;Therapeutic Apheresis","NCIT:C126102;NCIT:C173286","NCIT;NCIT"
"630","TACE","Transarterial Chemoembolization","NCIT:C101513","NCIT"
"631","TACEb","Transarterial Chemoembolization","NCIT:C101513","NCIT"
"632","TAE","Transanal Excision","NCIT:C62398","NCIT"
"633","TAK-701","Anti-HGF Monoclonal Antibody TAK-701","NCIT:C81939","NCIT"
"634","TAMIS","Transanal Excision;Minimally Invasive Surgery","NCIT:C62398;NCIT:C172727","NCIT;NCIT"
"635","TAMOXIFEN","Tamoxifen","NCIT:C62078","NCIT"
"636","TB-403","Anti-PLGF Monoclonal Antibody TB-403","NCIT:C78486","NCIT"
"637","TBI","Total-Body Irradiation","NCIT:C15350","NCIT"
"638","TDM-1","Trastuzumab Emtansine","NCIT:C82492","NCIT"
"639","TEMODAR","Temozolomide","NCIT:C1244","NCIT"
"640","TIL infusion","Tumor Infiltrating Lymphocyte Therapy","NCIT:C15524","NCIT"
"641","TKI","Tyrosine Kinase Inhibitor","NCIT:C1967","NCIT"
"642","TL32711","Birinapant","NCIT:C88295","NCIT"
"643","TLI","Total Lymphoid Irradiation","NCIT:C156721","NCIT"
"644","TM","Trametinib","NCIT:C77908","NCIT"
"645","TMZ","Temozolomide","NCIT:C1244","NCIT"
"646","TOPO_II_INH","Topoisomerase-II Inhibitor","NCIT:C1968","NCIT"
"647","TOPO_I_INH","Topoisomerase-I Inhibitor","NCIT:C1904","NCIT"
"648","TOPTECAN","Topotecan","NCIT:C1413","NCIT"
"649","TOTAL MASTECTOMY","Total Mastectomy","NCIT:C15281","NCIT"
"650","TRAMP","TRAM Flap Procedure","NCIT:C160624","NCIT"
"651","TRAS","Trastuzumab","NCIT:C1647","NCIT"
"652","TRASTUZUMAB","Trastuzumab","NCIT:C1647","NCIT"
"653","TRISENOX(ATO)","Arsenic Trioxide","NCIT:C1005","NCIT"
"654","TUR","Transurethral Resection","NCIT:C15705","NCIT"
"655","TURBT","Transurethral Resection of Bladder Tumor","NCIT:C116651","NCIT"
"656","TURBT (transurethral resection of bladder tumor)","Transurethral Resection of Bladder Tumor","NCIT:C116651","NCIT"
"657","TVRC-biopsy","Biopsy","NCIT:C15189","NCIT"
"658","Tandutinib","Tandutinib","NCIT:C48404","NCIT"
"659","Tasadenoturev","Tasadenoturev","NCIT:C74067","NCIT"
"660","Tasadeoturev","Tasadenoturev","NCIT:C74067","NCIT"
"661","Taxol","Paclitaxel","NCIT:C1411","NCIT"
"662","Taxotere","Docetaxel","NCIT:C1526","NCIT"
"663","Temodar","Temozolomide","NCIT:C1244","NCIT"
"664","Temozolamide","Temozolomide","NCIT:C1244","NCIT"
"665","Temozolomide","Temozolomide","NCIT:C1244","NCIT"
"666","Temsirolimus","Temsirolimus","NCIT:C1844","NCIT"
"667","Thalidomide","Thalidomide","NCIT:C870","NCIT"
"668","Thioguanine","Thioguanine","NCIT:C876","NCIT"
"669","Thiotepa","Thiotepa","NCIT:C875","NCIT"
"670","Thymoglobulin","Lapine T-Lymphocyte Immune Globulin","NCIT:C80833","NCIT"
"671","Thymoglobulin (Bu/Flu/ATG)","Lapine T-Lymphocyte Immune Globulin","NCIT:C80833","NCIT"
"672","Thymoglobulin (Bu/Flu/Cy/ATG)","Lapine T-Lymphocyte Immune Globulin","NCIT:C80833","NCIT"
"673","Topotecan","Topotecan","NCIT:C1413","NCIT"
"674","Total Abdominal","Total Abdominal Hysterectomy","NCIT:C51695","NCIT"
"675","Total Abdominal Hysterectomy","Total Abdominal Hysterectomy","NCIT:C51695","NCIT"
"676","Total Body Irradiation","Total-Body Irradiation","NCIT:C15350","NCIT"
"677","Total Hepatectomy","Total Hepatectomy","NCIT:C51781","NCIT"
"678","Total Mastectomy","Total Mastectomy","NCIT:C15281","NCIT"
"679","Total mastectomy","Total Mastectomy","NCIT:C15281","NCIT"
"680","Total pancreatectomy","Total Pancreatectomy","NCIT:C15340","NCIT"
"681","Trametinib","Trametinib","NCIT:C77908","NCIT"
"682","Transplant","Graft","NCIT:C12981","NCIT"
"683","Transurethral resection","Transurethral Resection","NCIT:C15705","NCIT"
"684","Trastuzumab","Trastuzumab","NCIT:C1647","NCIT"
"685","Tremelimumab","Tremelimumab","NCIT:C49085","NCIT"
"686","Treosulfan","Treosulfan","NCIT:C1257","NCIT"
"687","Tretinoin","Tretinoin","NCIT:C900","NCIT"
"688","UNK","Unknown","NCIT:C17998","NCIT"
"689","Uncinate process resection","Uncinate Process of Pancreas;Resection","NCIT:C62432;NCIT:C158758","NCIT;NCIT"
"690","Unilateral Oophorectomy","Unilateral Oophorectomy","NCIT:C29892","NCIT"
"691","Unilateral Salpingo- Oophorectomy","Unilateral Salpingo-oophorectomy","NCIT:C94469","NCIT"
"692","Unilateral Salpingo-Oophorectomy","Unilateral Salpingo-oophorectomy","NCIT:C94469","NCIT"
"693","Ureteral Biopsy","Ureter;Biopsy","NCIT:C12416;NCIT:C15189","NCIT;NCIT"
"694","Ureterectomy","Ureterectomy","NCIT:C51637","NCIT"
"695","Urethrectomy","Urethrectomy","NCIT:C159447","NCIT"
"696","V212","Heat-Treated Varicella-Zoster Virus Vaccine V212","NCIT:C91085","NCIT"
"697","VB","Vinblastine","NCIT:C930","NCIT"
"698","VCR","Vincristine","NCIT:C933","NCIT"
"699","VINCRISTINE","Vincristine","NCIT:C933","NCIT"
"700","VP-16","Etoposide","NCIT:C491","NCIT"
"701","VS-4718","FAK Inhibitor VS-4718","NCIT:C107238","NCIT"
"702","VT-464","Seviteronel","NCIT:C113652","NCIT"
"703","Valproic Acid","Valproic Acid","NCIT:C29536","NCIT"
"704","Velcade","Bortezomib","NCIT:C1851","NCIT"
"705","Vem","Vemurafenib","NCIT:C64768","NCIT"
"706","Vemurafenib","Vemurafenib","NCIT:C64768","NCIT"
"707","Venetoclax","Venetoclax","NCIT:C103147","NCIT"
"708","Venetoclax (ABT-199)","Venetoclax","NCIT:C103147","NCIT"
"709","Vidaza","Azacitidine Regimen","NCIT:C159995","NCIT"
"710","Vinblastine","Vinblastine","NCIT:C930","NCIT"
"711","Vincristine","Vincristine","NCIT:C933","NCIT"
"712","Vincristine Sulfate","Vincristine Sulfate","NCIT:C1739","NCIT"
"713","Vinorelbine","Vinorelbine","NCIT:C1275","NCIT"
"714","Vinorelbrine","Vinorelbine","NCIT:C1275","NCIT"
"715","Vorinostat","Vorinostat","NCIT:C1796","NCIT"
"716","Vulvar resecetion","Vulva;Resection","NCIT:C12408;NCIT:C158758","NCIT;NCIT"
"717","Wertheim Meiggs","Wertheim operation (procedure)","361223008","SNOMED"
"718","Wide Excision","Wide Skin Excision","NCIT:C48608","NCIT"
"719","Wide Local Excision","Wide Local Excision","NCIT:C94441","NCIT"
"720","Wide local excision","Wide Local Excision","NCIT:C94441","NCIT"
