original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id,notes
EARLY STAGE PRIMARY,http://purl.obolibrary.org/obo/NCIT_C28065<;>http://purl.obolibrary.org/obo/NCIT_C25251,NCIT,Limited Stage<;>Primary,NCIT_C28065<;>NCIT_C25251,
EXTRAHEPATIC,http://purl.obolibrary.org/obo/NCIT_C28358,NCIT,Extrahepatic,NCIT_C28358,
ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2852,NCIT,Adenocarcinoma,NCIT_C2852,
"ADENOCARCINOMA, NOS",http://purl.obolibrary.org/obo/NCIT_C2852,NCIT,Adenocarcinoma,NCIT_C2852,
ADENOCARCINOMA- NOS,http://purl.obolibrary.org/obo/NCIT_C2852,NCIT,Adenocarcinoma,NCIT_C2852,
"ADENOCARCINOMA, NOS 81403",http://purl.obolibrary.org/obo/NCIT_C2852,NCIT,Adenocarcinoma,NCIT_C2852,
ADENOCARINOMA,http://purl.obolibrary.org/obo/NCIT_C2852,NCIT,Adenocarcinoma,NCIT_C2852,
 ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2852,NCIT,Adenocarcinoma,NCIT_C2852,
INVASIVE ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14159,NCIT,Adenocarcinoma<;>Invasive,NCIT_C2852<;>NCIT_C14159,
ADENOCARCINOMA-MD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14162,NCIT,Adenocarcinoma<;>Moderately Differentiated,NCIT_C2852<;>NCIT_C14162,
ADENOCARCINOME-PD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Adenocarcinoma<;>Poorly Differentiated,NCIT_C2852<;>NCIT_C14167,
ADENOCARCINOMA-VPD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Adenocarcinoma<;>Poorly Differentiated,NCIT_C2852<;>NCIT_C14167,
ADENOCARCINOMA P/MD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14167<;>http://purl.obolibrary.org/obo/NCIT_C14162,NCIT,Adenocarcinoma<;>Poorly Differentiated<;>Moderately Differentiated,NCIT_C2852<;>NCIT_C14167<;>NCIT_C14162,
ADENOCARCINOMA-P/MD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14167<;>http://purl.obolibrary.org/obo/NCIT_C14162,NCIT,Adenocarcinoma<;>Poorly Differentiated<;>Moderately Differentiated,NCIT_C2852<;>NCIT_C14167<;>NCIT_C14162,
ADENOCARCINOMA-WD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14171,NCIT,Adenocarcinoma<;>Well Differentiated,NCIT_C2852<;>NCIT_C14171,
RECTUM; ADENOCARCINOMA; WELL DIFFERENTIATED,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14171<;>http://purl.obolibrary.org/obo/NCIT_C12390,NCIT,Adenocarcinoma<;>Well Differentiated<;>Rectum,NCIT_C2852<;>NCIT_C14171<;>NCIT_C12390,
ADENOCARCINOMA-UD,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C14176,NCIT,Adenocarcinoma<;>Undifferentiated,NCIT_C2852<;>NCIT_C14176,
UNDIFFERENTIATED_ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2852<;>http://purl.obolibrary.org/obo/NCIT_C3692,NCIT,Adenocarcinoma<;>Undifferentiated Carcinoma,NCIT_C2852<;>NCIT_C3692,
PAPILLARY_ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2853,NCIT,Papillary Adenocarcinoma,NCIT_C2853,
PAPILLARY ADENOCARCINOMA 82603,http://purl.obolibrary.org/obo/NCIT_C2853,NCIT,Papillary Adenocarcinoma,NCIT_C2853,
ADRENAL TUMOR,http://purl.obolibrary.org/obo/NCIT_C2859,NCIT,Adrenal Gland Neoplasm,NCIT_C2859,
PRIMARY MYELOFIBROSIS,http://purl.obolibrary.org/obo/NCIT_C2862,NCIT,Primary Myelofibrosis,NCIT_C2862,
REFRACTORY ANEMIA,http://purl.obolibrary.org/obo/NCIT_C2872,NCIT,Refractory Anemia,NCIT_C2872,
RA,http://purl.obolibrary.org/obo/NCIT_C2872,NCIT,Refractory Anemia,NCIT_C2872,
SERTOLI-LEYDIG CELL TUMOR,http://purl.obolibrary.org/obo/NCIT_C2880,NCIT,Ovarian Sertoli-Leydig Cell Tumor,NCIT_C2880,
PROSTATE HYPERPLASIA,http://purl.obolibrary.org/obo/NCIT_C2897,NCIT,Benign Prostatic Hyperplasia,NCIT_C2897,
PROSTATE_HYPERPLASIA,http://purl.obolibrary.org/obo/NCIT_C2897,NCIT,Benign Prostatic Hyperplasia,NCIT_C2897,
MISCELLANEOUS BRAIN TUMOR,http://purl.obolibrary.org/obo/NCIT_C2907,NCIT,Brain Neoplasm,NCIT_C2907,
"BREAST NEOPLASM, NOS",http://purl.obolibrary.org/obo/NCIT_C2910,NCIT,Breast Neoplasm,NCIT_C2910,
BURKITT LYMPHOMA,http://purl.obolibrary.org/obo/NCIT_C2912,NCIT,Burkitt Lymphoma,NCIT_C2912,
BURKITT_LYMPHOMA,http://purl.obolibrary.org/obo/NCIT_C2912,NCIT,Burkitt Lymphoma,NCIT_C2912,
LYMPHOMA_BURKITT,http://purl.obolibrary.org/obo/NCIT_C2912,NCIT,Burkitt Lymphoma,NCIT_C2912,
BURKITTS LYMPHOMA,http://purl.obolibrary.org/obo/NCIT_C2912,NCIT,Burkitt Lymphoma,NCIT_C2912,
B_CELL_BURKITT,http://purl.obolibrary.org/obo/NCIT_C2912,NCIT,Burkitt Lymphoma,NCIT_C2912,
CARCINOID TUMOR,http://purl.obolibrary.org/obo/NCIT_C2915,NCIT,Carcinoid Tumor,NCIT_C2915,
CARCINOID,http://purl.obolibrary.org/obo/NCIT_C2915,NCIT,Carcinoid Tumor,NCIT_C2915,
CARCINOID-ENDOCRINE TUMOUR,http://purl.obolibrary.org/obo/NCIT_C2915,NCIT,Carcinoid Tumor,NCIT_C2915,
CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2916,NCIT,Carcinoma,NCIT_C2916,
"CANCER OF UNKNOWN PRIMARY, NOS",http://purl.obolibrary.org/obo/NCIT_C2916,NCIT,Carcinoma,NCIT_C2916,
POORLY DIFFERENTIATED CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2916<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Carcinoma<;>Poorly Differentiated,NCIT_C2916<;>NCIT_C14167,
CARCINOMA-VPD,http://purl.obolibrary.org/obo/NCIT_C2916<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Carcinoma<;>Poorly Differentiated,NCIT_C2916<;>NCIT_C14167,
"POORLY DIFFERENTIATED CARCINOMA, NOS",http://purl.obolibrary.org/obo/NCIT_C2916<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Carcinoma<;>Poorly Differentiated,NCIT_C2916<;>NCIT_C14167,
CARCINOMA-UD,http://purl.obolibrary.org/obo/NCIT_C2916<;>http://purl.obolibrary.org/obo/NCIT_C14176,NCIT,Carcinoma<;>Undifferentiated,NCIT_C2916<;>NCIT_C14176,
PROSTATE ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2919,NCIT,Prostate Adenocarcinoma,NCIT_C2919,
PRAD,http://purl.obolibrary.org/obo/NCIT_C2919,NCIT,Prostate Adenocarcinoma,NCIT_C2919,
"PROSTATE ADENOCARCINOMA, OTHER SUBTYPE",http://purl.obolibrary.org/obo/NCIT_C2919,NCIT,Prostate Adenocarcinoma,NCIT_C2919,
ADENOCARCINOMA- PROSTATE,http://purl.obolibrary.org/obo/NCIT_C2919,NCIT,Prostate Adenocarcinoma,NCIT_C2919,
PROSTATE_ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2919,NCIT,Prostate Adenocarcinoma,NCIT_C2919,
SKIN CANCER,http://purl.obolibrary.org/obo/NCIT_C2920,NCIT,Malignant Skin Neoplasm,NCIT_C2920,
SKIN_CANCER,http://purl.obolibrary.org/obo/NCIT_C2920,NCIT,Malignant Skin Neoplasm,NCIT_C2920,
BRONCHIOLOALVEOLAR_ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2923,NCIT,Minimally Invasive Lung Adenocarcinoma,NCIT_C2923,
DUCTAL CARCINOMA IN SITU DCIS,http://purl.obolibrary.org/obo/NCIT_C2924,NCIT,Breast Ductal Carcinoma In Situ,NCIT_C2924,
BREAST DUCTAL CARCINOMA IN SITU,http://purl.obolibrary.org/obo/NCIT_C2924,NCIT,Breast Ductal Carcinoma In Situ,NCIT_C2924,
NON-SMALL CELL LUNG CANCER,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
NSCLC,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
LUNG_NSC,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
NON SMALL CELL LUNG CANCER OTHER,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
NON-SMALL CELL LUNG,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
"NON-SMALL CELL LUNG CANCER NSCLC, UNSPECIFIED",http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
 NON-SMALL_CELL LUNG_CANCER,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
NON_SMALL_CELL_LUNG_CANCER,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
NON SMALL CELL LUNG CANCER,http://purl.obolibrary.org/obo/NCIT_C2926,NCIT,Lung Non-Small Cell Carcinoma,NCIT_C2926,
POORLY DIFFERENTIATED NON-SMALL CELL LUNG CANCER,http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Lung Non-Small Cell Carcinoma<;>Poorly Differentiated,NCIT_C2926<;>NCIT_C14167,
"NON-SMALL CELL LUNG CANCER NSCLC, ADENOCARCINOMA",http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C3512,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Adenocarcinoma,NCIT_C2926<;>NCIT_C3512,
NSCLC_ADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C3512,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Adenocarcinoma,NCIT_C2926<;>NCIT_C3512,
"NSCLC, ADENOCARCINOMA",http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C3512,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Adenocarcinoma,NCIT_C2926<;>NCIT_C3512,
"NON-SMALL CELL LUNG CANCER NSCLC, LARGE CELL CARCINOMA",http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C3780,NCIT,Lung Non-Small Cell Carcinoma<;>Large Cell Carcinoma,NCIT_C2926<;>NCIT_C3780,
NSCLC_LARGE_CELL,http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C3780,NCIT,Lung Non-Small Cell Carcinoma<;>Large Cell Carcinoma,NCIT_C2926<;>NCIT_C3780,
"NON-SMALL CELL LUNG CANCER NSCLC, MUCOEPIDERMOID CARCINOMA",http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C45544,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Mucoepidermoid Carcinoma,NCIT_C2926<;>NCIT_C45544,
NSCLC_MUCOEPIDERMOID,http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C45544,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Mucoepidermoid Carcinoma,NCIT_C2926<;>NCIT_C45544,
"NON-SMALL CELL LUNG CANCER NSCLC, ADENOSQUAMOUS CARCINOMA",http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C9133,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Adenosquamous Carcinoma,NCIT_C2926<;>NCIT_C9133,
NSCLC_ADENOSQUAMOUS,http://purl.obolibrary.org/obo/NCIT_C2926<;>http://purl.obolibrary.org/obo/NCIT_C9133,NCIT,Lung Non-Small Cell Carcinoma<;>Lung Adenosquamous Carcinoma,NCIT_C2926<;>NCIT_C9133,
PAPILLARY CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2927,NCIT,Papillary Carcinoma,NCIT_C2927,
PAPILLARY_CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2927,NCIT,Papillary Carcinoma,NCIT_C2927,
"CARCINOMA, PAPILLARY",http://purl.obolibrary.org/obo/NCIT_C2927,NCIT,Papillary Carcinoma,NCIT_C2927,
SQUAMOUS CELL CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2929,NCIT,Squamous Cell Carcinoma,NCIT_C2929,
"SQUAMOUS CELL CARCINOMA, NOS",http://purl.obolibrary.org/obo/NCIT_C2929,NCIT,Squamous Cell Carcinoma,NCIT_C2929,
SQUAMOUS_CELL_CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2929,NCIT,Squamous Cell Carcinoma,NCIT_C2929,
SQUAMOUS CELL CARCINOMA-VPD,http://purl.obolibrary.org/obo/NCIT_C2929<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Squamous Cell Carcinoma<;>Poorly Differentiated,NCIT_C2929<;>NCIT_C14167,
"SQUAMOUS CELL CARCINOMA, BASALOID",http://purl.obolibrary.org/obo/NCIT_C2929<;>http://purl.obolibrary.org/obo/NCIT_C32190,NCIT,Squamous Cell Carcinoma<;>Basaloid Cell,NCIT_C2929<;>NCIT_C32190,
TRANSITIONAL CELL CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2930,NCIT,Transitional Cell Carcinoma,NCIT_C2930,
TRANSITIONAL_CELL_CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2930,NCIT,Transitional Cell Carcinoma,NCIT_C2930,
CNS DISEASE,http://purl.obolibrary.org/obo/NCIT_C2934,NCIT,Central Nervous System Disorder,NCIT_C2934,
CHONDROBLASTOMA,http://purl.obolibrary.org/obo/NCIT_C2945,NCIT,Chondroblastoma,NCIT_C2945,
CHONDROSARCOMA,http://purl.obolibrary.org/obo/NCIT_C2946,NCIT,Chondrosarcoma,NCIT_C2946,
CHORDOMA,http://purl.obolibrary.org/obo/NCIT_C2947,NCIT,Chordoma,NCIT_C2947,
CHORIOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2948,NCIT,Choriocarcinoma,NCIT_C2948,
 CHORIOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2948,NCIT,Choriocarcinoma,NCIT_C2948,
CHORIOCARCINOMANON-SEMINOMA,http://purl.obolibrary.org/obo/NCIT_C2948<;>http://purl.obolibrary.org/obo/NCIT_C28046,NCIT,Choriocarcinoma<;>Nonseminomatous,NCIT_C2948<;>NCIT_C28046,
 CHORIOCARCINOMANON-SEMINOMA,http://purl.obolibrary.org/obo/NCIT_C2948<;>http://purl.obolibrary.org/obo/NCIT_C28046,NCIT,Choriocarcinoma<;>Nonseminomatous,NCIT_C2948<;>NCIT_C28046,
SEMINOMA; NOSNON-SEMINOMA; CHORIOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2948<;>http://purl.obolibrary.org/obo/NCIT_C28046<;>http://purl.obolibrary.org/obo/NCIT_C9309,NCIT,Choriocarcinoma<;>Nonseminomatous<;>Seminoma,NCIT_C2948<;>NCIT_C28046<;>NCIT_C9309,
NON-SEMINOMA; EMBRYONAL CARCINOMANON-SEMINOMA; TERATOMA MATURENON-SEMINOMA; CHORIOCARCINOMANON-SEMINOMA; YOLK SAC TUMORSEMINOMA; NOS,http://purl.obolibrary.org/obo/NCIT_C2948<;>http://purl.obolibrary.org/obo/NCIT_C28046<;>http://purl.obolibrary.org/obo/NCIT_C9309<;>http://purl.obolibrary.org/obo/NCIT_C9015<;>http://purl.obolibrary.org/obo/NCIT_C3011<;>http://purl.obolibrary.org/obo/NCIT_C3752,NCIT,Choriocarcinoma<;>Nonseminomatous<;>Seminoma<;>Mature Teratoma<;>Yolk Sac Tumor<;>Embryonal Carcinoma,NCIT_C2948<;>NCIT_C28046<;>NCIT_C9309<;>NCIT_C9015<;>NCIT_C9015<;>NCIT_C3752,
INTERMEDIATE RISK CYTOGENETIC ABNORMALITY,http://purl.obolibrary.org/obo/NCIT_C2950<;>http://purl.obolibrary.org/obo/NCIT_C102402,NCIT,Cytogenetic Abnormality<;>Intermediate Risk,NCIT_C2950<;>NCIT_C102402,
POOR RISK CYTOGENETIC ABNORMALITY,http://purl.obolibrary.org/obo/NCIT_C2950<;>http://purl.obolibrary.org/obo/NCIT_C102403,NCIT,Cytogenetic Abnormality<;>Low Risk,NCIT_C2950<;>NCIT_C102403,
COLORECTAL CANCER,http://purl.obolibrary.org/obo/NCIT_C2955,NCIT,Colorectal Carcinoma,NCIT_C2955,
COLORECTAL CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2955,NCIT,Colorectal Carcinoma,NCIT_C2955,
COLORECTAL CARCINOMA OTHER,http://purl.obolibrary.org/obo/NCIT_C2955,NCIT,Colorectal Carcinoma,NCIT_C2955,
COLORECTAL_CANCER,http://purl.obolibrary.org/obo/NCIT_C2955,NCIT,Colorectal Carcinoma,NCIT_C2955,
CRANIOPHARYNGIOMA,http://purl.obolibrary.org/obo/NCIT_C2964,NCIT,Craniopharyngioma,NCIT_C2964,
ADENOID CYSTIC CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2970,NCIT,Adenoid Cystic Carcinoma,NCIT_C2970,
ACYC,http://purl.obolibrary.org/obo/NCIT_C2970,NCIT,Adenoid Cystic Carcinoma,NCIT_C2970,
CYSTADENOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C2971,NCIT,Cystadenocarcinoma,NCIT_C2971,
"CYSTADENOCARCINOMA, HIGH GRADE SEROUS",http://purl.obolibrary.org/obo/NCIT_C2971<;>http://purl.obolibrary.org/obo/NCIT_C14158<;>http://purl.obolibrary.org/obo/NCIT_C14168,NCIT,Cystadenocarcinoma<;>High Grade<;>Serous,NCIT_C2971<;>NCIT_C14158<;>NCIT_C14168,
CYSTOADENOCARCINOMA-PD,http://purl.obolibrary.org/obo/NCIT_C2971<;>http://purl.obolibrary.org/obo/NCIT_C14167,NCIT,Cystadenocarcinoma<;>Poorly Differentiated,NCIT_C2971<;>NCIT_C14167,
"CYSTADENOCARCINOMA, ENDOMETRIOID",http://purl.obolibrary.org/obo/NCIT_C2971<;>http://purl.obolibrary.org/obo/NCIT_C3769,NCIT,Cystadenocarcinoma<;>Endometrioid Adenocarcinoma,NCIT_C2971<;>NCIT_C3769,
PHYLLODES,http://purl.obolibrary.org/obo/NCIT_C2977,NCIT,Phyllodes Tumor,NCIT_C2977,
DIABETES DIAGNOSIS INDICATOR,http://purl.obolibrary.org/obo/NCIT_C2985,NCIT,Diabetes Mellitus,NCIT_C2985,
DOWN SYNDROME,http://purl.obolibrary.org/obo/NCIT_C2993,NCIT,Down Syndrome,NCIT_C2993,
YOLK SAC TUMOR,http://purl.obolibrary.org/obo/NCIT_C3011,NCIT,Yolk Sac Tumor,NCIT_C3011,
 YOLK SAC TUMOR,http://purl.obolibrary.org/obo/NCIT_C3011,NCIT,Yolk Sac Tumor,NCIT_C3011,
NON-SEMINOMA; YOLK SAC TUMOR,http://purl.obolibrary.org/obo/NCIT_C28046<;>http://purl.obolibrary.org/obo/NCIT_C3011,NCIT,Nonseminomatous<;>Yolk Sac Tumor,NCIT_C3011<;>NCIT_C9015,
YOLK SAC TUMORNON-SEMINOMA,http://purl.obolibrary.org/obo/NCIT_C28046<;>http://purl.obolibrary.org/obo/NCIT_C3011,NCIT,Nonseminomatous<;>Yolk Sac Tumor,NCIT_C3011<;>NCIT_C9015,
 YOLK SAC TUMORNON-SEMINOMA,http://purl.obolibrary.org/obo/NCIT_C28046<;>http://purl.obolibrary.org/obo/NCIT_C3011,NCIT,Nonseminomatous<;>Yolk Sac Tumor,NCIT_C3011<;>NCIT_C9015,
YOLK SAC TUMORSEMINOMA,http://purl.obolibrary.org/obo/NCIT_C3011<;>http://purl.obolibrary.org/obo/NCIT_C9309,NCIT,Yolk Sac Tumor<;>Seminoma,NCIT_C3011<;>NCIT_C9309,
 YOLK SAC TUMORSEMINOMA,http://purl.obolibrary.org/obo/NCIT_C3011<;>http://purl.obolibrary.org/obo/NCIT_C9309,NCIT,Yolk Sac Tumor<;>Seminoma,NCIT_C3011<;>NCIT_C9309,
EPENDYMOMA,http://purl.obolibrary.org/obo/NCIT_C3017,NCIT,Ependymoma,NCIT_C3017,
EPM,http://purl.obolibrary.org/obo/NCIT_C3017,NCIT,Ependymoma,NCIT_C3017,
FIBROMATOSIS,http://purl.obolibrary.org/obo/NCIT_C3042,NCIT,Fibromatosis,NCIT_C3042,
FIBROSARCOMA,http://purl.obolibrary.org/obo/NCIT_C3043,NCIT,Fibrosarcoma,NCIT_C3043,
FIBROSARCOMA_CANCER,http://purl.obolibrary.org/obo/NCIT_C3043,NCIT,Fibrosarcoma,NCIT_C3043,
GANGLIONEUROMA,http://purl.obolibrary.org/obo/NCIT_C3049,NCIT,Ganglioneuroma,NCIT_C3049,
GIANT CELL TUMOUR,http://purl.obolibrary.org/obo/NCIT_C3055,NCIT,Giant Cell Tumor,NCIT_C3055,
GIANT_CELL_TUMOUR,http://purl.obolibrary.org/obo/NCIT_C3055,NCIT,Giant Cell Tumor,NCIT_C3055,
CASTLEMAN'S DISEASE,http://purl.obolibrary.org/obo/NCIT_C3056,NCIT,Castleman Disease,NCIT_C3056,
GLIOBLASTOMA MULTIFORME,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
GLIOBLASTOMA,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
GB,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
GBM,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
TREATED PRIMARY GBM,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
GLIOBLASTOMA MULTIFORME GBM,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
GLIOBLASTOMA_MULTIFORME,http://purl.obolibrary.org/obo/NCIT_C3058,NCIT,Glioblastoma,NCIT_C3058,
GBM_IDHMUT-NON-CODEL,http://purl.obolibrary.org/obo/NCIT_C3058<;>http://purl.obolibrary.org/obo/NCIT_C129264,NCIT,Glioblastoma<;>IDH Gene Family Mutation,NCIT_C3058<;>NCIT_C129264,
GBM_IDHWT,http://purl.obolibrary.org/obo/NCIT_C3058<;>http://purl.obolibrary.org/obo/NCIT_C136567,NCIT,Glioblastoma<;>IDH Family Wildtype,NCIT_C3058<;>NCIT_C136567,
"""GLIOBLASTOMA, UD""",http://purl.obolibrary.org/obo/NCIT_C3058<;>http://purl.obolibrary.org/obo/NCIT_C14176,NCIT,Glioblastoma<;>Undifferentiated,NCIT_C3058<;>NCIT_C14176,
"""GLIOBLASTOMA,UD""",http://purl.obolibrary.org/obo/NCIT_C3058<;>http://purl.obolibrary.org/obo/NCIT_C14176,NCIT,Glioblastoma<;>Undifferentiated,NCIT_C3058<;>NCIT_C14176,
UNTREATED PRIMARY DE NOVO GBM,http://purl.obolibrary.org/obo/NCIT_C3058<;>http://purl.obolibrary.org/obo/NCIT_C28354,NCIT,Glioblastoma<;>De Novo,NCIT_C3058<;>NCIT_C28354,
GLIOMA,http://purl.obolibrary.org/obo/NCIT_C3059,NCIT,Glioma,NCIT_C3059,
ENCAPSULATED GLIOMA,http://purl.obolibrary.org/obo/NCIT_C3059,NCIT,Glioma,NCIT_C3059,
GRANULOSA CELL TUMOR,http://purl.obolibrary.org/obo/NCIT_C3070,NCIT,Granulosa Cell Tumor,NCIT_C3070,
GRANULOSA_CELL_TUMOUR,http://purl.obolibrary.org/obo/NCIT_C3070,NCIT,Granulosa Cell Tumor,NCIT_C3070,
GRANULOSA_CELL_TUMOR,http://purl.obolibrary.org/obo/NCIT_C3070,NCIT,Granulosa Cell Tumor,NCIT_C3070,
HEMANGIOMA,http://purl.obolibrary.org/obo/NCIT_C3085,NCIT,Hemangioma,NCIT_C3085,
ANGIOSARCOMA,http://purl.obolibrary.org/obo/NCIT_C3088,NCIT,Angiosarcoma,NCIT_C3088,
HEPATOCELLULAR CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
HCC,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
LIHC,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
HEPTOCELLULAR CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
HEPATOCELLULAR_CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
HEPATOCELLULAR_CANCER,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
LIVER HEPATOCELLULAR CARCINOMA,http://purl.obolibrary.org/obo/NCIT_C3099,NCIT,Hepatocellular Carcinoma,NCIT_C3099,
HEPATOCELLULAR CARCINOMA PLUS INTRAHEPATIC CHOLANGIOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C3099<;>http://purl.obolibrary.org/obo/NCIT_C35417,NCIT,Hepatocellular Carcinoma<;>Intrahepatic Cholangiocarcinoma,NCIT_C3099<;>NCIT_C35417,
LIVER HEPATOCELLULAR CARCINOMA PLUS INTRAHEPATIC CHOLANGIOCARCINOMA,http://purl.obolibrary.org/obo/NCIT_C3099<;>http://purl.obolibrary.org/obo/NCIT_C35417,NCIT,Hepatocellular Carcinoma<;>Intrahepatic Cholangiocarcinoma,NCIT_C3099<;>NCIT_C35417,
HISTIOCYTOSIS,http://purl.obolibrary.org/obo/NCIT_C3106,NCIT,Histiocytosis,NCIT_C3106,
LANGERHANS CELL HISTIOCYTOSIS,http://purl.obolibrary.org/obo/NCIT_C3107,NCIT,Langerhans Cell Histiocytosis,NCIT_C3107,
HYPERTENSION DIAGNOSIS,http://purl.obolibrary.org/obo/NCIT_C3117,NCIT,Hypertension,NCIT_C3117,
KERATOACANTHOMA,http://purl.obolibrary.org/obo/NCIT_C3146,NCIT,Keratoacanthoma,NCIT_C3146,
LEIOMYOSARCOMA,http://purl.obolibrary.org/obo/NCIT_C3158,NCIT,Leiomyosarcoma,NCIT_C3158,
